;Open;High;Low;Close;Adj Close;Volume
0;0.0;15.953333;15.629333;15.824667;15.824667;63973500.0
1;15.666667;15.984667;15.516;15.878;15.878;55920000.0
2;31.333334;16.431999;15.941333;16.167334;16.167334;70338000.0
3;47.000001;16.528667;16.118;16.209999;16.209999;65472000.0
4;62.666668;17.106001;16.700666;16.999332;16.999332;107650500.0
5;78.333335;17.396667;16.903999;17.381332;17.381332;62925000.0
6;94.000002;17.376667;17.001333;17.016666;17.016666;54064500.0
7;109.666669;16.970667;16.126667;16.145332;16.145332;73587000.0
8;125.333336;16.253332;15.367333;15.384667;15.384667;98853000.0
9;141.000003;15.426667;13.0;14.591333;14.591333;143724000.0
10;156.66667;15.393333;14.608;14.668667;14.668667;64909500.0
11;172.333337;15.2;14.367333;14.989333;14.989333;74445000.0
12;188.000004;16.316668;15.387333;16.199333;16.199333;114840000.0
13;203.666671;16.763332;16.104668;16.565332;16.565332;82705500.0
14;219.333338;16.996668;16.367332;16.604;16.604;70503000.0
15;235.00000500000002;16.4;15.798;15.908667;15.908667;81822000.0
16;250.666672;16.525333;15.985333;16.512667;16.512667;69438000.0
17;266.333339;16.805332;16.333332;16.371332;16.371332;62922000.0
18;282.000006;16.272667;15.88;16.128668;16.128668;55338000.0
19;297.666673;16.610666;16.27;16.544666;16.544666;47073000.0
20;313.33334;16.950001;16.553333;16.594;16.594;50862000.0
21;329.000007;16.714666;16.355333;16.565332;16.565332;40635000.0
22;344.666674;16.682667;16.315332;16.682667;16.682667;35262000.0
23;360.333341;16.950001;16.644667;16.879333;16.879333;43363500.0
24;376.000008;16.973333;16.633333;16.904667;16.904667;44002500.0
25;391.666675;17.525333;16.858667;17.483334;17.483334;66256500.0
26;407.333342;17.700001;17.379333;17.471333;17.471333;53787000.0
27;423.00000900000003;17.587999;17.166668;17.374666;17.374666;56446500.0
28;438.666676;18.104668;17.053333;17.613333;17.613333;91803000.0
29;454.333343;17.51;17.058001;17.396;17.396;54966000.0
30;470.00001000000003;17.472;17.172001;17.403999;17.403999;39012000.0
31;485.666677;17.563334;17.080667;17.541332;17.541332;51723000.0
32;501.333344;17.794001;17.076668;17.127333;17.127333;56601000.0
33;517.000011;17.319332;16.440666;16.562;16.562;73516500.0
34;532.666678;16.982;16.364;16.443333;16.443333;55548000.0
35;548.333345;16.826668;16.156;16.559999;16.559999;73944000.0
36;564.000012;16.566668;15.808667;15.992;15.992;68595000.0
37;579.666679;16.513332;15.662;16.504667;16.504667;66360000.0
38;595.333346;16.656;16.275333;16.41;16.41;55348500.0
39;611.000013;16.202;15.705333;16.097334;16.097334;78378000.0
40;626.66668;15.846667;15.274667;15.464;15.464;102210000.0
41;642.333347;15.381333;14.754;15.114667;15.114667;91998000.0
42;658.000014;14.958;14.557333;14.712667;14.712667;92376000.0
43;673.666681;14.866667;14.351333;14.372;14.372;57544500.0
44;689.333348;14.834667;14.075333;14.616667;14.616667;77572500.0
45;705.000015;14.73;14.362;14.458667;14.458667;46566000.0
46;720.666682;14.782;14.246667;14.754;14.754;42663000.0
47;736.333349;15.365333;14.858;15.134;15.134;65017500.0
48;752.000016;15.41;14.996;15.206667;15.206667;37618500.0
49;767.666683;15.24;13.466667;14.202;14.202;223500000.0
50;783.33335;14.320667;13.92;14.006;14.006;62272500.0
51;799.0000170000001;14.383333;13.96;14.114667;14.114667;42378000.0
52;814.666684;14.356667;13.846;13.939333;13.939333;63532500.0
53;830.333351;14.392;14.0;14.350667;14.350667;50871000.0
54;846.0000180000001;14.473333;13.834;14.023333;14.023333;52791000.0
55;861.666685;14.23;13.886667;14.197333;14.197333;40929000.0
